catnr;catnrstring;bez_de;bez_en;bez_fr;bez_ru
90080200;90080200;Rückprofil C 42TE eloxiert;Rear Rail C, Anodized, 42HP;"Profilé arrière ""C"", anodisé,";Rear Rail C, Anodized, 42HP
90080300;90080300;Rückprofil C 63TE eloxiert;Rear Rail C, Anodized, 63HP;Profilé arrière C, anodisé, 63;Rear Rail C, Anodized, 63HP
90084100;90084100;Rückprofil C 84TE chromatiert;Rear Rail C, Alodined, 84HP;Profilé arrière C, alodiné, 84;Rear Rail C, Alodined, 84HP
90084200;90084200;Rückprofil C 42TE chromatiert;Rear Rail C, Alodined, 42HP;Profilé arrière C, alodiné, 42;Rear Rail C, Alodined, 42HP
90084300;90084300;Rückprofil C 63TE chromatiert;Rear Rail C, Alodined, 63HP;Profilé arrière C, alodiné, 63;Rear Rail C, Alodined, 63HP
90090000;90090000;Rückprofil D  L=2700mm, elox.,;Rear Rail D, Anodized,;Profilé arr. D, anod.,stk 2700mm;Rear Rail D, Anodized,
90090100;90090100;Rückprofil D 84TE eloxiert;Rear Rail D, Anodized, 84HP;Profilé arrière D, anodisé, 84;Rear Rail D, Anodized, 84HP
90090200;90090200;Rückprofil D 42TE eloxiert;Rear Rail D, Anodized, 42HP;Profilé arrière D, anodisé, 42;Rear Rail D, Anodized, 42HP
90090300;90090300;Rückprofil D 63TE eloxiert;Rear Rail D, Anodized, 63HP;Profilé arrière D, anodisé, 63;Rear Rail D, Anodized, 63HP
90100000;90100000;Griffprofil elox  L=1000mm;Hande Rail Anodized, Stock Len;Barre poignée, anod.,stk 1000m;Hande Rail Anodized, Stock Len
90111000;90111000;Zentralverriegelungsprofil L=2;PB Locking Rail 2700mm;Verou. carte 2700mm;PB Locking Rail 2700mm
90111100;90111100;Zentralverriegelung 42TE incl.;PB Locking Rail 42HP;Verouillage de carte 42F;PB Locking Rail 42HP
